L_C_roll	L_A_roll	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.36264	-9.36264	
9.27473	-9.27473	
9.36264	-9.27473	
9.27473	-9.27473	
9.27473	-9.27473	
9.27473	-9.27473	
9.18681	-9.0989	
9.18681	-9.18681	
9.0989	-9.27473	
9.0989	-9.0989	
8.92308	-9.01099	
9.01099	-9.01099	
9.01099	-9.01099	
8.83516	-8.83516	
8.74725	-8.74725	
8.65934	-8.65934	
8.57143	-8.57143	
8.48352	-8.48352	
8.30769	-8.30769	
8.21978	-8.21978	
8.13187	-8.04396	
7.86813	-8.04396	
7.69231	-7.69231	
7.51648	-7.42857	
7.16484	-7.07692	
6.9011	-6.81319	
6.63736	-6.46154	
6.1978	-6.10989	
5.67033	-5.58242	
5.23077	-5.14286	
4.52747	-4.52747	
4.08791	-4	
3.2967	-3.12088	
2.50549	-2.32967	
1.45055	-1.27473	
0.395604	-0.21978	
0.21978	-0.131868	
-0.483516	0.835165	
-1.71429	1.97802	
-2.41758	2.59341	
-3.20879	3.38462	
-3.91209	4.08791	
-4.52747	4.7033	
-5.14286	5.23077	
-5.49451	5.67033	
-5.93407	6.02198	
-6.28571	6.37363	
-6.63736	6.63736	
-6.81319	6.9011	
-7.07692	7.16484	
-7.25275	7.25275	
-7.51648	7.51648	
-7.69231	7.78022	
-7.95604	7.95604	
-8.04396	8.04396	
-8.21978	8.30769	
-8.30769	8.30769	
-8.30769	8.30769	
-8.30769	8.3956	
-8.57143	8.57143	
-8.57143	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.74725	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.57143	8.3956	
-8.13187	8.13187	
-7.86813	7.95604	
-7.86813	7.86813	
-7.95604	7.95604	
-7.86813	7.78022	
-7.16484	7.07692	
-6.81319	6.72527	
-6.54945	6.46154	
-5.93407	5.75824	
-5.58242	5.49451	
-4.87912	4.79121	
-4.17582	4.08791	
-3.82418	3.64835	
-2.94505	2.85714	
-2.15385	1.97802	
-1.18681	1.01099	
-0.483516	0.483516	
0.21978	-0.395604	
0.571429	-0.571429	
1.18681	-1.36264	
1.89011	-1.97802	
2.15385	-2.32967	
3.03297	-3.12088	
3.38462	-3.47253	
4.08791	-4.17582	
4.7033	-4.79121	
5.14286	-5.31868	
5.58242	-5.67033	
6.28571	-6.37363	
6.72527	-6.72527	
6.9011	-6.9011	
7.25275	-7.25275	
7.25275	-7.34066	
7.34066	-7.34066	
7.6044	-7.51648	
7.6044	-7.51648	
7.6044	-7.6044	
7.78022	-7.78022	
7.86813	-7.86813	
7.86813	-7.86813	
7.78022	-7.86813	
7.86813	-7.86813	
7.86813	-7.86813	
7.86813	-7.78022	
7.86813	-7.86813	
7.86813	-7.86813	
7.86813	-7.86813	
7.86813	-7.86813	
6.63736	-6.37363	
7.69231	-7.86813	
7.78022	-7.78022	
7.78022	-7.78022	
7.69231	-7.69231	
7.6044	-7.51648	
7.42857	-7.42857	
7.16484	-7.16484	
6.98901	-6.9011	
6.63736	-6.54945	
6.37363	-6.37363	
5.93407	-5.93407	
5.49451	-5.40659	
4.87912	-4.79121	
4.08791	-4	
3.2967	-3.12088	
2.50549	-2.32967	
1.62637	-1.45055	
0.483516	-0.21978	
0.043956	-0.043956	
-0.483516	0.659341	
-1.53846	1.71429	
-2.50549	2.68132	
-3.20879	3.38462	
-3.82418	4	
-4.43956	4.52747	
-4.79121	4.87912	
-5.31868	5.40659	
-5.75824	5.84615	
-6.02198	6.10989	
-6.37363	6.37363	
-6.63736	6.63736	
-6.81319	6.81319	
-7.07692	7.07692	
-7.16484	7.25275	
-7.34066	7.42857	
-7.51648	7.51648	
-7.69231	7.69231	
-7.69231	7.78022	
-7.78022	7.86813	
-7.86813	7.95604	
-7.86813	7.95604	
-8.04396	8.04396	
-8.04396	8.04396	
-8.04396	8.04396	
-8.04396	8.04396	
-8.04396	8.04396	
-8.04396	8.04396	
-7.95604	8.04396	
-8.04396	8.04396	
-7.95604	7.95604	
-7.86813	7.86813	
-7.69231	7.69231	
-7.6044	7.6044	
-7.42857	7.42857	
-7.34066	7.25275	
-7.16484	7.16484	
-6.98901	6.9011	
-6.63736	6.63736	
-6.28571	6.28571	
-6.02198	6.02198	
-5.67033	5.58242	
-5.14286	5.05495	
-4.7033	4.52747	
-4.17582	4.08791	
-3.56044	3.38462	
-2.85714	2.68132	
-1.97802	1.8022	
-1.01099	0.835165	
0.043956	-0.21978	
0.21978	-0.307692	
1.01099	-1.27473	
2.06593	-2.32967	
2.94505	-3.12088	
3.73626	-3.82418	
4.43956	-4.52747	
5.05495	-5.14286	
5.58242	-5.67033	
6.10989	-6.1978	
6.46154	-6.46154	
6.9011	-6.98901	
7.16484	-7.16484	
7.42857	-7.51648	
7.69231	-7.69231	
7.86813	-7.86813	
8.04396	-8.04396	
8.21978	-8.21978	
8.48352	-8.48352	
8.57143	-8.48352	
8.57143	-8.65934	
8.65934	-8.65934	
8.74725	-8.65934	
8.83516	-8.83516	
8.74725	-8.74725	
8.74725	-8.83516	
8.92308	-9.01099	
8.92308	-8.92308	
8.83516	-8.83516	
8.83516	-8.83516	
8.83516	-8.83516	
8.74725	-8.74725	
8.57143	-8.65934	
8.57143	-8.57143	
8.48352	-8.48352	
8.30769	-8.30769	
8.13187	-8.13187	
7.95604	-8.04396	
7.86813	-7.78022	
7.69231	-7.69231	
7.34066	-7.34066	
6.98901	-6.98901	
6.63736	-6.63736	
6.46154	-6.37363	
5.93407	-5.84615	
5.40659	-5.31868	
4.79121	-4.61538	
4.17582	-4.08791	
3.47253	-3.2967	
2.68132	-2.50549	
1.71429	-1.62637	
0.659341	-0.395604	
0.307692	-0.307692	
-0.395604	0.659341	
-1.45055	1.71429	
-2.41758	2.59341	
-3.03297	3.20879	
-3.64835	3.91209	
-4.35165	4.43956	
-4.79121	4.96703	
-5.31868	5.40659	
-5.75824	5.84615	
-6.02198	6.1978	
-6.46154	6.46154	
-6.63736	6.72527	
-6.9011	6.9011	
-7.16484	7.16484	
-7.34066	7.34066	
-7.42857	7.51648	
-7.6044	7.6044	
-7.78022	7.78022	
-7.78022	7.78022	
-7.86813	7.86813	
-7.95604	7.86813	
-7.86813	7.86813	
-7.95604	8.04396	
-7.95604	7.95604	
-7.95604	7.95604	
-7.95604	7.95604	
-7.95604	8.04396	
-7.95604	7.95604	
-7.95604	7.95604	
-7.95604	7.95604	
-7.86813	7.86813	
-7.78022	7.78022	
-7.69231	7.6044	
-7.51648	7.51648	
-7.42857	7.34066	
-7.34066	7.34066	
-7.07692	7.07692	
-6.9011	6.9011	
-6.63736	6.54945	
-6.28571	6.28571	
-6.02198	6.02198	
-5.67033	5.58242	
-5.14286	5.05495	
-4.7033	4.52747	
-4.26374	4.17582	
-3.56044	3.38462	
-2.85714	2.68132	
-1.97802	1.8022	
-1.01099	0.835165	
-0.043956	-0.21978	
0.21978	-0.307692	
1.18681	-1.36264	
2.15385	-2.32967	
2.94505	-3.12088	
3.91209	-4	
4.43956	-4.61538	
5.14286	-5.23077	
5.67033	-5.75824	
6.1978	-6.1978	
6.54945	-6.63736	
6.81319	-6.81319	
7.16484	-7.16484	
7.42857	-7.42857	
7.69231	-7.78022	
7.86813	-7.86813	
8.21978	-8.21978	
8.21978	-8.21978	
8.48352	-8.57143	
8.48352	-8.57143	
8.65934	-8.65934	
8.74725	-8.74725	
8.74725	-8.74725	
8.83516	-8.83516	
8.83516	-8.83516	
8.83516	-8.83516	
8.92308	-8.92308	
8.92308	-8.83516	
8.92308	-8.92308	
8.83516	-8.83516	
8.74725	-8.74725	
8.65934	-8.74725	
8.74725	-8.74725	
8.57143	-8.57143	
8.48352	-8.48352	
8.30769	-8.30769	
8.21978	-8.13187	
8.04396	-7.86813	
7.86813	-7.86813	
7.69231	-7.69231	
7.42857	-7.34066	
7.07692	-6.98901	
6.63736	-6.63736	
6.37363	-6.37363	
5.93407	-5.84615	
5.40659	-5.31868	
4.79121	-4.7033	
4.26374	-4	
3.47253	-3.2967	
2.59341	-2.41758	
1.71429	-1.53846	
0.571429	-0.395604	
0.307692	-0.307692	
-0.307692	0.659341	
-1.45055	1.8022	
-2.50549	2.59341	
-3.03297	3.2967	
-3.73626	4.08791	
-4.43956	4.61538	
-4.79121	4.87912	
-5.40659	5.40659	
-5.93407	6.10989	
-6.1978	6.37363	
-6.54945	6.54945	
-6.72527	6.9011	
-6.98901	7.07692	
-7.25275	7.34066	
-7.51648	7.6044	
-7.69231	7.69231	
-7.78022	7.86813	
-8.04396	8.04396	
-8.13187	8.13187	
-8.21978	8.30769	
-8.30769	8.30769	
-8.30769	8.30769	
-8.57143	8.57143	
-8.57143	8.57143	
-8.57143	8.57143	
-8.57143	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.65934	8.65934	
-8.57143	8.57143	
-8.57143	8.57143	
-8.57143	8.57143	
-7.95604	7.86813	
-7.78022	7.78022	
-7.69231	7.78022	
-7.51648	7.42857	
-7.16484	7.16484	
-6.9011	6.81319	
-6.72527	6.63736	
-6.28571	6.28571	
-5.67033	5.58242	
-4.96703	4.79121	
-4.7033	4.7033	
-4.17582	4	
-3.38462	3.38462	
-2.94505	2.85714	
-2.50549	2.50549	
-2.06593	1.97802	
-1.53846	1.45055	
-0.923077	0.835165	
-0.395604	0.21978	
0.131868	-0.131868	
0.659341	-0.835165	
1.62637	-1.8022	
2.15385	-2.15385	
2.15385	-2.15385	
2.59341	-2.85714	
3.20879	-3.20879	
3.2967	-3.2967	
3.64835	-3.82418	
4.43956	-4.52747	
4.87912	-4.96703	
5.49451	-5.67033	
6.28571	-6.46154	
7.07692	-7.25275	
7.78022	-7.78022	
7.86813	-7.86813	
8.04396	-8.13187	
8.13187	-8.21978	
8.48352	-8.48352	
8.57143	-8.48352	
8.48352	-8.48352	
8.48352	-8.48352	
8.48352	-8.48352	
8.48352	-8.48352	
8.48352	-8.48352	
8.30769	-8.30769	
8.30769	-8.21978	
8.21978	-8.21978	
8.30769	-8.21978	
8.13187	-8.13187	
8.04396	-8.04396	
7.95604	-7.95604	
7.78022	-7.78022	
7.78022	-7.69231	
7.51648	-7.42857	
7.16484	-7.07692	
6.9011	-6.81319	
6.54945	-6.54945	
