time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.025	-3.84531e-05	0.00691393	0.227271	-2.37926e-05	-2.37355e-06	2.58976e-05	-2.37476e-05	0.0726655	2.5892e-05	0.0303165	-0.00726835	0.311305	0	0	0	0	0	0	0	0.00643947	0	0	0.2596	0	0	0	0	0	0.0726702	0	
0.05	-3.84436e-05	0.00715656	0.227271	-2.37994e-05	-2.06869e-06	2.58909e-05	-2.37544e-05	0.0726658	2.5885e-05	0.0303157	-0.00690989	0.311296	-3.18644e-05	0.0143386	-0.000355815	-0.00127458	0.573542	-0.0142326	0	0.0130311	0	0	0.268765	0	0	0	0	0	0.0726702	0	
0.075	-3.84276e-05	0.00756729	0.227271	-2.38108e-05	-1.55266e-06	2.58797e-05	-2.37659e-05	0.0726663	2.58733e-05	0.0303144	-0.00630311	0.311281	-5.33792e-05	0.024271	-0.000596093	-0.000860591	0.397299	-0.00961111	0	0.0199306	0	0	0.284281	0	0	0	0	0	0.0726702	0	
0.1	-3.84052e-05	0.00815585	0.227271	-2.38272e-05	-8.13319e-07	2.58643e-05	-2.37824e-05	0.0726671	2.58571e-05	0.0303125	-0.0054338	0.31126	-7.52491e-05	0.0347727	-0.000840388	-0.000874796	0.420067	-0.00977179	0	0.0273011	0	0	0.306513	0	0	0	0	0	0.0726702	0	
0.125	-3.83761e-05	0.00893613	0.227272	-2.38488e-05	1.6668e-07	2.58447e-05	-2.3804e-05	0.0726681	2.58366e-05	0.03031	-0.00428156	0.311232	-9.75032e-05	0.0460896	-0.00108905	-0.000890165	0.452676	-0.00994663	0	0.0353166	0	0	0.335988	0	0	0	0	0	0.0726702	0	
0.15	-3.83403e-05	0.00992658	0.227272	-2.38761e-05	1.41033e-06	2.58213e-05	-2.38314e-05	0.0726693	2.58119e-05	0.030307	-0.00281939	0.311199	-0.000120039	0.0584867	-0.00134098	-0.000901432	0.495882	-0.0100771	0	0.0441666	0	0	0.373401	0	0	0	0	0	0.0726702	0	
0.175	-3.82978e-05	0.0111506	0.227272	-2.39095e-05	2.94682e-06	2.57948e-05	-2.3865e-05	0.0726708	2.57838e-05	0.0303035	-0.00101305	0.311159	-0.000142556	0.0722538	-0.00159286	-0.000900661	0.550686	-0.0100752	0	0.0540601	0	0	0.419638	0	0	0	0	0	0.0726702	0	
0.2	-3.82488e-05	0.0126371	0.227272	-2.39498e-05	4.81215e-06	2.5766e-05	-2.39055e-05	0.0726727	2.57532e-05	0.0302994	0.00117977	0.311113	-0.000164461	0.0877128	-0.00183815	-0.0008762	0.61836	-0.00981137	0	0.065231	0	0	0.475789	0	0	0	0	0	0.0726702	0	
0.225	-3.81937e-05	0.0144212	0.227273	-2.39977e-05	7.05005e-06	2.57365e-05	-2.39536e-05	0.0726749	2.57214e-05	0.0302947	0.0038104	0.311062	-0.00018474	0.105225	-0.00206561	-0.000811198	0.700482	-0.0090984	0	0.0779432	0	0	0.543183	0	0	0	0	0	0.0726702	0	
0.25	-3.81335e-05	0.0165451	0.227273	-2.4054e-05	9.71291e-06	2.57086e-05	-2.40101e-05	0.0726776	2.56909e-05	0.0302897	0.00694038	0.311005	-0.000201779	0.125199	-0.00225731	-0.000681527	0.79898	-0.00766809	0	0.092497	0	0	0.623411	0	0	0	0	0	0.0726702	0	
0.275	-3.80698e-05	0.019059	0.227273	-2.41197e-05	1.28631e-05	2.56858e-05	-2.4076e-05	0.0726808	2.56649e-05	0.0302844	0.010643	0.310945	-0.000213102	0.148104	-0.0023858	-0.000452938	0.916189	-0.00513964	0	0.109236	0	0	0.718369	0	0	0	0	0	0.0726702	0	
0.3	-3.80055e-05	0.0220223	0.227274	-2.41956e-05	1.65743e-05	2.56731e-05	-2.41523e-05	0.0726845	2.56485e-05	0.030279	0.0150049	0.310885	-0.000215033	0.174477	-0.00241022	-7.72279e-05	1.05493	-0.000977009	0	0.128557	0	0	0.8303	0	0	0	0	0	0.0726702	0	
0.025	-3.79454e-05	0.0254697	0.227274	-2.4282e-05	2.08895e-05	2.5678e-05	-2.42392e-05	0.0726888	2.5649e-05	0.030274	0.0200766	0.310829	-0.000200442	0.202869	-0.00225112	0.000583642	1.13568	0.00636404	0	0.146621	0	0	0.608691	0	0	0	0	0	0.0726702	0	
0.05	-3.78973e-05	0.0292952	0.227274	-2.43754e-05	2.56752e-05	2.57081e-05	-2.4333e-05	0.0726936	2.56743e-05	0.03027	0.0257019	0.310784	-0.000159266	0.225009	-0.00179565	0.00164702	0.885593	0.0182187	0	0.158685	0	0	0.35031	0	0	0	0	0	0.0726702	0	
0.075	-3.7868e-05	0.0333375	0.227274	-2.44711e-05	3.07297e-05	2.57684e-05	-2.44293e-05	0.0726986	2.57294e-05	0.0302676	0.0316438	0.310757	-9.55824e-05	0.237677	-0.00108877	0.00254735	0.50673	0.0282753	0	0.16383	0	0	0.0551577	0	0	0	0	0	0.0726702	0	
0.1	-3.78609e-05	0.0374123	0.227274	-2.45644e-05	3.58229e-05	2.58588e-05	-2.45232e-05	0.0727037	2.58147e-05	0.0302671	0.0376326	0.310751	-2.04104e-05	0.239551	-0.000252895	0.00300688	0.0749463	0.0334351	0	0.161136	0	0	-0.276767	0	0	0	0	0	0.0726702	0	
0.125	-3.78235e-05	0.0413123	0.227274	-2.21866e-05	3.66278e-05	2.33775e-05	-2.215e-05	0.0727047	2.33333e-05	0.0302674	0.0433662	0.310766	1.02079e-05	0.229345	0.000625487	0.00122473	-0.408251	0.0351353	0	0.149685	0	0	-0.645463	0	0	0	0	0	0.0726702	0	
0.15	-3.79172e-05	0.0448076	0.227274	-2.2254e-05	4.05584e-05	2.3491e-05	-2.22179e-05	0.0727087	2.34427e-05	0.0302699	0.0485047	0.310795	0.00010219	0.205541	0.00116736	0.00367927	-0.95213	0.0216749	0	0.128557	0	0	-1.05093	0	0	0	0	0	0.0726702	0	
0.025	-3.79547e-05	0.0477019	0.227274	-2.2308e-05	5.10158e-05	2.35999e-05	-2.22725e-05	0.0727119	2.35485e-05	0.0302732	0.0527594	0.310832	0.000129936	0.170185	0.0014472	0.00110987	-1.41425	0.0111936	0	0.103699	0	0	-0.941606	0	0	7.20937e-06	0	0	0.0726702	0	
0.05	-3.79924e-05	0.0500072	0.227274	-2.23492e-05	0.000101701	2.36974e-05	-2.23147e-05	0.0727145	2.36443e-05	0.0302764	0.0561396	0.310871	0.000131123	0.135209	0.00156755	4.74492e-05	-1.39906	0.00481398	0	0.0812912	0	0	-0.854529	0	0	5.53477e-05	0	0	0.0726702	0	
0.075	-3.80253e-05	0.051778	0.227274	-2.23788e-05	0.00022261	2.37799e-05	-2.23461e-05	0.0727165	2.37274e-05	0.0302794	0.058718	0.310911	0.000117276	0.103139	0.00159579	-0.000553873	-1.2828	0.00112971	0	0.0608043	0	0	-0.787643	0	0	0.000174377	0	0	0.0726702	0	
0.1	-3.80504e-05	0.0530561	0.227274	-2.2398e-05	0.000424746	2.38449e-05	-2.2368e-05	0.0727179	2.37955e-05	0.0302817	0.0605532	0.310949	9.33572e-05	0.0734082	0.00153899	-0.00095675	-1.18922	-0.00227223	0	0.0417541	0	0	-0.739368	0	0	0.000375264	0	0	0.0726702	0	
0.125	-3.80659e-05	0.0538718	0.227273	-2.24077e-05	0.000697185	2.38907e-05	-2.23814e-05	0.0727188	2.38465e-05	0.0302833	0.0616917	0.310984	6.32897e-05	0.0455371	0.00138582	-0.0012027	-1.11484	-0.00612648	0	0.0236905	0	0	-0.708563	0	0	0.000647042	0	0	0.0726702	0	
0.15	-3.80713e-05	0.0542443	0.227274	-2.24089e-05	0.00101002	2.39159e-05	-2.23867e-05	0.0727191	2.38785e-05	0.030284	0.0621682	0.311012	3.01417e-05	0.019061	0.00112315	-0.00132592	-1.05904	-0.0105068	0	0.00618656	0	0	-0.694499	0	0	0.000959749	0	0	0.0726702	0	
0.175	-3.80668e-05	0.0541824	0.227274	-2.24027e-05	0.00132236	2.39199e-05	-2.23845e-05	0.072719	2.38894e-05	0.0302839	0.0620049	0.311031	-3.77624e-06	-0.00653024	0.000749448	-0.00135672	-1.02365	-0.0149483	0	-0.0111711	0	0	-0.696846	0	0	0.00127246	0	0	0.0726702	0	
0.2	-3.80531e-05	0.0536845	0.227274	-2.23894e-05	0.00159332	2.3902e-05	-2.23748e-05	0.0727184	2.38778e-05	0.030283	0.0612091	0.311038	-3.67292e-05	-0.031834	0.000283968	-0.00131812	-1.01215	-0.0186192	0	-0.0287928	0	0	-0.715657	0	0	0.00154423	0	0	0.0726702	0	
0.225	-3.80312e-05	0.052739	0.227274	-2.23694e-05	0.00179296	2.38624e-05	-2.23573e-05	0.0727173	2.38429e-05	0.0302813	0.0597703	0.311032	-6.72129e-05	-0.0575498	-0.00022934	-0.00121935	-1.02863	-0.0205323	0	-0.0470948	0	0	-0.751378	0	0	0.00174512	0	0	0.0726702	0	
0.25	-3.80026e-05	0.0513234	0.227274	-2.23421e-05	0.00191028	2.38019e-05	-2.23315e-05	0.0727157	2.37854e-05	0.030279	0.0576587	0.311014	-9.34533e-05	-0.0844672	-0.000723396	-0.00104962	-1.0767	-0.0197623	0	-0.0665095	0	0	-0.804853	0	0	0.00186415	0	0	0.0726702	0	
0.275	-3.79692e-05	0.0494042	0.227274	-2.23064e-05	0.00195621	2.37223e-05	-2.22963e-05	0.0727135	2.37074e-05	0.0302762	0.0548228	0.310986	-0.000112805	-0.113435	-0.0011138	-0.00077408	-1.15871	-0.0156163	0	-0.0874958	0	0	-0.877345	0	0	0.00191229	0	0	0.0726702	0	
0.3	-3.7934e-05	0.0469363	0.227275	-2.22604e-05	0.00196064	2.36272e-05	-2.22503e-05	0.0727107	2.36132e-05	0.0302732	0.0511897	0.310953	-0.00012111	-0.145324	-0.00130633	-0.000332179	-1.27558	-0.00770095	0	-0.110549	0	0	-0.970566	0	0	0.0019195	0	0	0.0726702	0	
0.025	-3.7902e-05	0.0439073	0.227275	-2.22026e-05	0.00195723	2.35236e-05	-2.21924e-05	0.0727073	2.35106e-05	0.0302704	0.0467341	0.310923	-0.000110898	-0.178223	-0.00120863	0.000408462	-1.31594	0.00390805	0	-0.130657	0	0	-0.638954	0	0	0.0019195	0	0	0.0726702	0	
0.05	-3.78161e-05	0.040479	0.227275	-2.21345e-05	0.00195337	2.34228e-05	-2.45823e-05	0.0727072	2.60121e-05	0.0302695	0.0416917	0.310901	-3.67377e-05	-0.201697	-0.000875428	0.00296642	-0.938957	0.0133279	0	-0.142542	0	0	-0.312736	0	0	0.0019195	0	0	0.0726702	0	
0.075	-3.78639e-05	0.0368555	0.227275	-2.4512e-05	0.00195261	2.5931e-05	-2.45004e-05	0.0727026	2.59191e-05	0.0302691	0.036363	0.310896	-1.33889e-05	-0.213146	-0.00022201	0.000933952	-0.457978	0.0261367	0	-0.146339	0	0	0.00808986	0	0	0.0019195	0	0	0.0726702	0	
0.1	-3.78765e-05	0.0332366	0.227275	-2.4428e-05	0.00194808	2.58606e-05	-2.44162e-05	0.0726981	2.585e-05	0.0302701	0.0310417	0.310907	3.95041e-05	-0.212853	0.000459319	0.00211572	0.0117175	0.0272532	0	-0.142183	0	0	0.323522	0	0	0.0019195	0	0	0.0726702	0	
0.125	-3.79047e-05	0.0298193	0.227275	-2.43465e-05	0.00194381	2.58155e-05	-2.43345e-05	0.0726938	2.58062e-05	0.0302724	0.026016	0.310933	9.23772e-05	-0.201027	0.00104236	0.00211492	0.473066	0.0233215	0	-0.130208	0	0	0.633561	0	0	0.0019195	0	0	0.0726702	0	
0.15	-3.79428e-05	0.0267974	0.227274	-2.42726e-05	0.00194002	2.5793e-05	-2.42605e-05	0.07269	2.57848e-05	0.0302756	0.0215703	0.310969	0.000126084	-0.177828	0.00141235	0.00134828	0.927961	0.0147997	0	-0.110549	0	0	0.938207	0	0	0.0019195	0	0	0.0726702	0	
0.025	-3.79831e-05	0.0243193	0.227274	-2.42107e-05	0.00193692	2.57867e-05	-2.41986e-05	0.0726863	2.57793e-05	0.0302789	0.0179236	0.311006	0.000134322	-0.145868	0.00150156	0.00032952	1.27837	0.00356836	0	-0.088308	0	0	0.844603	0	0	0.0019195	0	0	0.0726695	0	
0.05	-3.80206e-05	0.0223696	0.227274	-2.41613e-05	0.00193448	2.57896e-05	-2.41492e-05	0.0726796	2.57829e-05	0.0302821	0.0150543	0.311041	0.000125182	-0.114775	0.00140637	-0.000365616	1.24375	-0.00380773	0	-0.0681531	0	0	0.770955	0	0	0.0019195	0	0	0.0726653	0	
0.075	-3.80521e-05	0.0209021	0.227274	-2.41237e-05	0.00193264	2.57965e-05	-2.41117e-05	0.0726672	2.57905e-05	0.0302847	0.0128956	0.311071	0.000105479	-0.0863454	0.00120142	-0.000788093	1.13717	-0.00819802	0	-0.0496085	0	0	0.715523	0	0	0.0019195	0	0	0.0726547	0	
0.1	-3.80755e-05	0.0198822	0.227274	-2.40974e-05	0.00193137	2.58042e-05	-2.40856e-05	0.0726482	2.57986e-05	0.0302867	0.0113974	0.311094	7.89622e-05	-0.0599291	0.000923795	-0.00106069	1.05665	-0.0111048	0	-0.0322361	0	0	0.676998	0	0	0.0019195	0	0	0.0726369	0	
0.125	-3.80896e-05	0.0192857	0.227274	-2.40819e-05	0.00193063	2.58103e-05	-2.40706e-05	0.0726233	2.58051e-05	0.0302879	0.0105242	0.311109	4.83076e-05	-0.0349262	0.000598167	-0.00122619	1.00012	-0.0130251	0	-0.0156254	0	0	0.654469	0	0	0.0019195	0	0	0.0726128	0	
0.15	-3.8094e-05	0.0190987	0.227274	-2.40771e-05	0.0019304	2.58134e-05	-2.40662e-05	0.0725954	2.58085e-05	0.0302883	0.010255	0.311115	1.5492e-05	-0.0107688	0.000242125	-0.00131262	0.966298	-0.0142417	0	0.000616113	0	0	0.647404	0	0	0.0019195	0	0	0.0725851	0	
0.175	-3.80883e-05	0.0193166	0.227274	-2.40829e-05	0.00193068	2.58131e-05	-2.40725e-05	0.072568	2.58083e-05	0.0302878	0.0105825	0.311112	-1.7915e-05	0.0130981	-0.000129462	-0.00133628	0.954675	-0.0148635	0	0.0168722	0	0	0.655636	0	0	0.0019195	0	0	0.0725574	0	
0.2	-3.80729e-05	0.0199446	0.227274	-2.40993e-05	0.00193147	2.58096e-05	-2.40893e-05	0.0725447	2.58048e-05	0.0302866	0.0115133	0.3111	-5.04901e-05	0.037232	-0.000500937	-0.001303	0.965355	-0.014859	0	0.0335269	0	0	0.67936	0	0	0.0019195	0	0	0.0725333	0	
0.225	-3.80486e-05	0.0209976	0.227274	-2.41266e-05	0.00193279	2.5804e-05	-2.41169e-05	0.0725283	2.57991e-05	0.0302845	0.0130684	0.311078	-8.06946e-05	0.0622064	-0.000852966	-0.00120818	0.998978	-0.0140812	0	0.0509738	0	0	0.719135	0	0	0.0019195	0	0	0.0725155	0	
0.25	-3.80165e-05	0.0225004	0.227274	-2.41651e-05	0.00193468	2.57986e-05	-2.41556e-05	0.0725196	2.57933e-05	0.0302819	0.015284	0.311049	-0.000106583	0.0886222	-0.00115994	-0.00103552	1.05663	-0.0122791	0	0.0696252	0	0	0.775902	0	0	0.0019195	0	0	0.0725049	0	
0.275	-3.79789e-05	0.0244886	0.227274	-2.42154e-05	0.00193717	2.57969e-05	-2.42061e-05	0.0725178	2.57911e-05	0.0302787	0.0182119	0.311015	-0.000125456	0.117118	-0.00138728	-0.000754935	1.13982	-0.00909339	0	0.0899216	0	0	0.851003	0	0	0.0019195	0	0	0.0725007	0	
0.3	-3.79388e-05	0.0270092	0.227275	-2.42782e-05	0.00194032	2.58046e-05	-2.42689e-05	0.0725204	2.57981e-05	0.0302754	0.0219214	0.310977	-0.000133443	0.14838	-0.00148802	-0.000319483	1.25048	-0.00402982	0	0.112343	0	0	0.94621	0	0	0.0019195	0	0	0.0725	0	
0.025	-3.79015e-05	0.0300772	0.227275	-2.43531e-05	0.00194416	2.58291e-05	-2.43439e-05	0.0725242	2.58218e-05	0.0302723	0.0264349	0.310943	-0.000123521	0.180538	-0.00138352	0.000396897	1.28635	0.00418028	0	0.132058	0	0	0.631027	0	0	0.0019195	0	0	0.0725	0	
0.05	-3.78746e-05	0.0335391	0.227275	-2.44355e-05	0.00194849	2.58768e-05	-2.44264e-05	0.0725285	2.58685e-05	0.0302701	0.0315264	0.310918	-8.77898e-05	0.203662	-0.000991369	0.00142923	0.924931	0.0156859	0	0.143893	0	0	0.315696	0	0	0.0019195	0	0	0.0725	0	
0.075	-3.78638e-05	0.0371982	0.227275	-2.45202e-05	0.00195307	2.59505e-05	-2.45112e-05	0.0725331	2.59412e-05	0.0302693	0.0369069	0.310908	-3.30941e-05	0.21522	-0.000388501	0.00218783	0.462328	0.0241147	0	0.147842	0	0	0.000219638	0	0	0.0019195	0	0	0.0725	0	
0.1	-3.76739e-05	0.0408572	0.227274	-2.21428e-05	0.00195383	2.34445e-05	-2.21348e-05	0.0725339	2.34352e-05	0.0302692	0.0422887	0.310917	-5.22385e-06	0.215269	0.000345273	0.00111481	0.0019728	0.029351	0	0.143903	0	0	-0.315403	0	0	0.0019195	0	0	0.0725	0	
0.125	-3.79066e-05	0.0443196	0.227275	-2.22108e-05	0.00195773	2.3548e-05	-2.22029e-05	0.0725378	2.35379e-05	0.030271	0.047381	0.31094	7.13511e-05	0.203692	0.000928467	0.003063	-0.463074	0.0233278	0	0.132071	0	0	-0.631173	0	0	0.0019195	0	0	0.0725	0	
